1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24  [1;32 1200 0.0016514578558935 [0 
1 2 3 4 5 6 292 8 9 851 11 12 13 14 15 16 17 18 592 808 21 22 23 24  [1;32 4800 0.0074308655592898 [0 
1 2 3 4 5 6 292 8 9 851 11 12 13 14 15 16 17 536 592 808 21 22 23 24  [1;32 7200 0.0099048171193467 [0 
1 2 3 4 574 6 292 8 9 851 11 12 13 14 15 16 17 536 592 808 21 22 23 24  [1;32 16800 0.010653134017765 [0 
1 2 3 4 574 6 292 8 9 851 11 12 13 14 15 16 17 536 592 808 21 22 23 24  [1;32 18000 0.010731086881596 [0 
1 2 3 4 598 6 292 8 9 851 498 810 49 14 15 16 17 536 592 808 21 22 23 24  [1;32 20400 0.015690380629842 [0 
1 2 3 4 598 6 292 8 9 851 498 810 49 14 15 16 17 536 592 808 21 22 23 24  [1;32 21600 0.016517289945091 [0 
1 2 3 4 598 6 292 175 9 851 498 810 49 14 15 16 17 536 592 808 21 78 23 24  [1;32 132000 0.023117533870441 [0 
1 2 3 4 598 6 292 175 9 851 498 810 49 14 15 16 17 536 592 808 21 78 23 24  [1;32 133200 0.029726093329379 [0 
1 2 3 4 598 6 457 175 9 851 498 810 49 14 93 16 17 536 592 808 190 78 23 24  [1;32 136800 0.029728755347402 [0 
406 980 3 555 598 6 457 175 9 851 498 810 49 14 91 16 17 536 592 163 190 78 23 24  [1;32 142800 0.032374873749595 [0 
406 980 3 555 598 6 457 175 9 851 498 810 49 14 91 16 17 536 592 163 190 78 23 654  [1;32 158400 0.03593723310227 [0 
406 980 3 225 598 6 730 175 9 265 498 810 49 14 584 16 17 536 592 617 190 78 23 654  [1;32 199200 0.04211282073807 [0 
406 980 3 225 598 6 730 175 9 265 498 810 49 14 584 16 17 536 592 617 190 78 23 654  [1;32 200400 0.047551068703851 [0 
406 980 3 225 598 6 730 175 9 265 498 810 49 14 584 16 17 536 592 617 190 78 23 654  [1;32 201600 0.048548557096717 [0 
406 980 3 225 598 538 730 175 9 265 498 810 49 14 584 16 17 839 592 617 190 78 23 654  [1;32 204000 0.062743093485135 [0 
406 753 3 225 598 538 730 175 9 265 498 810 49 14 584 16 17 839 592 617 190 78 23 892  [1;32 208800 0.066066935209608 [0 
406 753 3 225 598 538 730 175 247 265 498 810 901 14 584 16 17 839 592 617 190 78 23 892  [1;32 213600 0.068460643511312 [0 
406 753 887 225 598 538 730 175 247 265 498 810 901 14 584 16 17 839 592 617 190 78 23 892  [1;32 230400 0.070182486627183 [0 
406 753 887 225 598 538 730 175 247 265 498 810 901 14 584 16 17 839 592 617 190 78 23 892  [1;32 231600 0.075961598607594 [0 
406 753 887 225 28 538 730 175 247 265 498 810 901 14 584 607 17 839 592 617 190 78 311 214  [1;32 252000 0.077613241627183 [0 
406 753 887 225 28 538 730 175 247 265 498 810 901 14 584 607 17 839 592 617 190 78 311 214  [1;32 253200 0.077613680100588 [0 
406 753 887 225 28 538 730 175 247 265 345 810 901 14 584 607 17 839 592 617 190 78 311 214  [1;32 262800 0.080092703180229 [0 
406 753 887 225 28 538 730 175 945 265 345 810 901 14 584 322 729 839 592 617 190 347 311 214  [1;32 296400 0.093303790587221 [0 
406 753 887 225 28 538 730 175 945 265 345 810 901 14 584 86 729 839 592 878 190 347 311 214  [1;32 474000 0.098251481773804 [0 
406 753 887 225 839 357 730 175 945 265 345 64 901 14 584 86 729 839 592 878 190 347 119 214  [1;32 483600 0.10981210311949 [0 
406 753 887 225 789 357 730 175 945 265 345 64 901 570 584 86 729 839 592 878 643 347 119 214  [1;32 494400 0.12469426729787 [0 
406 753 887 225 789 357 730 175 945 265 345 64 901 570 584 86 729 839 466 878 643 347 119 214  [1;32 504000 0.12549643830238 [0 
406 753 887 225 789 357 730 175 945 265 345 64 901 570 584 86 729 839 466 878 643 347 119 214  [1;32 505200 0.126341453948 [0 
406 753 887 225 789 357 730 175 945 265 345 64 901 570 584 86 729 839 466 878 643 347 119 214  [1;32 506400 0.13127585754052 [0 
406 753 911 225 899 357 730 175 945 265 345 64 901 570 584 86 729 839 466 878 643 347 119 214  [1;32 516000 0.13376575031208 [0 
406 753 911 225 899 357 730 175 945 265 345 64 901 570 584 86 729 839 466 236 643 347 119 214  [1;32 520800 0.13937355859282 [0 
406 753 911 225 899 836 730 175 945 265 345 64 901 570 584 86 729 839 466 236 643 347 855 214  [1;32 531600 0.14531171552042 [0 
406 164 911 225 899 836 730 175 710 265 345 64 901 570 584 411 729 839 466 236 643 638 855 214  [1;32 534000 0.14780320429455 [0 
406 164 911 225 899 836 730 175 825 265 345 64 901 570 584 411 729 839 978 236 643 638 855 214  [1;32 544800 0.14911388801482 [0 
406 164 911 225 899 836 730 175 825 265 345 64 901 570 918 411 729 839 32 236 643 638 894 214  [1;32 556800 0.15191238716232 [0 
